BoroughCode,StatusOrderNumber,MainStreet,FromStreet,ToStreet,SideOfStreet
M,S-291514,BROADWAY,THAMES STREET,RECTOR STREET,W
M,S-291519,BROADWAY,MORRIS STREET,BATTERY PLACE,W
M,P-204771,BROADWAY,WEST   32 STREET,WEST   31 STREET,E
M,P-204756,BROADWAY,WEST   53 STREET,WEST   52 STREET,E
M,P-204732,BROADWAY,WEST  177 STREET,WEST  178 STREET,E
M,P-279651,BROADWAY,WEST  173 STREET,WEST  172 STREET,W
M,P-279653,BROADWAY,WEST  171 STREET,WEST  170 STREET,W
M,P-279654,BROADWAY,WEST  172 STREET,WEST  173 STREET,E
M,P-279670,BROADWAY,WEST  172 STREET,WEST  171 STREET,W
M,P-204731,BROADWAY,WEST  176 STREET,WEST  177 STREET,E
M,S-293563,BROADWAY,WEST   60 STREET,WEST   61 STREET,E
M,P-204730,BROADWAY,WEST  174 STREET,WEST  175 STREET,E
M,P-204724,BROADWAY,WEST  183 STREET,WEST  184 STREET,E
M,P-280015,BROADWAY,WEST   28 STREET,WEST   27 STREET,E
M,P-204711,BROADWAY,WEST  181 STREET,WEST  182 STREET,E
M,P-204602,BROADWAY,WEST   48 STREET,WEST   47 STREET,E
M,S-105260,BROADWAY,SPRING STREET,BROOME STREET,E
M,S-105259,BROADWAY,EAST HOUSTON STREET,PRINCE STREET,E
M,S-105257,BROADWAY,BOND STREET,BLEECKER STREET,E
M,S-105256,BROADWAY,GREAT JONES STREET,BOND STREET,E
M,S-105255,BROADWAY,EAST    4 STREET,GREAT JONES STREET,E
M,P-280710,BROADWAY,WEST  180 STREET,WEST  179 STREET,W
M,P-280712,BROADWAY,WEST  181 STREET,WEST  180 STREET,W
M,P-280977,BROADWAY,WEST  192 STREET,WEST  190 STREET,W
M,S-294040,BROADWAY,WEST  173 STREET,WEST  174 STREET,E
M,P-203451,BROADWAY,WEST   26 STREET,WEST   25 STREET,W
M,P-286783,BROADWAY,WEST  174 STREET,WEST  173 STREET,W
M,P-203243,BROADWAY,WEST   31 STREET,WEST   30 STREET,W
M,P-202736,BROADWAY,WEST   32 STREET,WEST   31 STREET,W
M,P-202732,BROADWAY,WEST   52 STREET,WEST   51 STREET,W
M,P-202723,BROADWAY,WEST   40 STREET,WEST   39 STREET,E
M,P-202722,BROADWAY,WEST   36 STREET,WEST   35 STREET,E
M,P-202721,BROADWAY,WEST   37 STREET,WEST   36 STREET,E
M,S-295097,BROADWAY,HAMILTON PLACE,WEST  138 STREET,E
M,S-295105,BROADWAY,WEST  153 STREET,WEST  155 STREET,E
M,P-202274,BROADWAY,WEST  184 STREET,WEST  181 STREET,W
M,P-287335,BROADWAY,WEST   63 STREET,WEST   64 STREET,E
M,P-202253,BROADWAY,WEST  175 STREET,WEST  174 STREET,W
M,S-295114,BROADWAY,WEST  166 STREET,WEST  168 STREET,E
M,P-287759,BROADWAY,WEST  176 STREET,WEST  175 STREET,W
M,P-288370,BROADWAY,WEST  147 STREET,WEST  146 STREET,W
M,P-288371,BROADWAY,WEST  146 STREET,WEST  145 STREET,W
M,P-288372,BROADWAY,WEST  142 STREET,WEST  141 STREET,W
M,P-288375,BROADWAY,WEST  140 STREET,WEST  139 STREET,W
M,P-288376,BROADWAY,WEST  164 STREET,WEST  163 STREET,W
M,P-288380,BROADWAY,WEST  138 STREET,WEST  137 STREET,W
M,P-288382,BROADWAY,WEST  152 STREET,WEST  151 STREET,W
M,P-288385,BROADWAY,WEST  160 STREET,FORT WASHINGTON AVENUE,W
M,P-288386,BROADWAY,WEST  162 STREET,WEST  161 STREET,W
M,S-225438,BROADWAY,WEST    3 STREET,WASHINGTON SQUARE,E
M,P-289962,BROADWAY,WEST   98 STREET,WEST   97 STREET,W
M,P-290492,BROADWAY,WEST   68 STREET,WEST   67 STREET,W
M,P-290493,BROADWAY,WEST   70 STREET,WEST   69 STREET,W
M,S-225440,BROADWAY,WEST    3 STREET,BLEECKER STREET,E
M,S-225931,BROADWAY,SPRING STREET,BROOME STREET,W
M,S-225937,BROADWAY,GRAND STREET,HOWARD STREET,W
M,P-294042,BROADWAY,WEST   53 STREET,WEST   52 STREET,W
M,P-294315,BROADWAY,WEST   69 STREET,WEST   70 STREET,E
M,P-294424,BROADWAY,WEST  159 STREET,WEST  160 STREET,E
M,P-294447,BROADWAY,WEST  155 STREET,WEST  156 STREET,E
M,P-294448,BROADWAY,WEST  171 STREET,WEST  172 STREET,E
M,P-295099,BROADWAY,WEST  141 STREET,WEST  142 STREET,E
M,P-295222,BROADWAY,WEST  145 STREET,WEST  146 STREET,E
M,P-295224,BROADWAY,WEST  143 STREET,WEST  144 STREET,E
M,P-295225,BROADWAY,WEST  163 STREET,WEST  164 STREET,E
M,P-295226,BROADWAY,WEST  135 STREET,WEST  136 STREET,E
M,S-260964,BROADWAY,EAST    8 STREET,WAVERLY PLACE,W
M,P-295228,BROADWAY,WEST  151 STREET,WEST  152 STREET,E
M,P-295229,BROADWAY,WEST  149 STREET,WEST  150 STREET,E
M,P-295230,BROADWAY,WEST  147 STREET,WEST  148 STREET,E
M,P-295231,BROADWAY,WEST  157 STREET,WEST  158 STREET,E
M,P-295232,BROADWAY,WEST  161 STREET,WEST  162 STREET,E
M,P-295233,BROADWAY,WEST  165 STREET,WEST  166 STREET,E
M,P-295234,BROADWAY,WEST  175 STREET,WEST  176 STREET,E
M,P-198604,BROADWAY,WEST   96 STREET,WEST   97 STREET,E
M,S-001314,BROADWAY,WEST   64 STREET,WEST   65 STREET,W
M,S-226531,BROADWAY,EAST   12 STREET,EAST   11 STREET,W
M,S-099376,BROADWAY,THAMES STREET,FULTON STREET,W
M,S-013074,BROADWAY,UNNAMED STREET,RIVERSIDE DRIVE,W
M,S-781731,BROADWAY,MURRAY STREET,PARK ROW,E
M,S-782749,BROADWAY,WEST   32 STREET,WEST   33 STREET,W
M,S-228778,BROADWAY,TIEMANN PLACE,LA SALLE STREET,W
M,S-089959,BROADWAY,WEST  107 STREET,WEST  106 STREET,W
M,S-228779,BROADWAY,LA SALLE STREET,WEST  122 STREET,W
M,S-228782,BROADWAY,WEST  116 STREET,WEST  115 STREET,W
M,S-228788,BROADWAY,WEST  100 STREET,WEST   99 STREET,W
M,S-790708,BROADWAY,WEST   58 STREET,WEST   59 STREET,E
M,S-024440,BROADWAY,WEST  125 STREET,TIEMANN PLACE,W
M,S-089468,BROADWAY,BROADWAY,WEST  107 STREET,W
M,S-836257,BROADWAY,FOURTH AVENUE,GREAT JONES STREET,E
M,S-088818,BROADWAY,WEST   81 STREET,WEST   80 STREET,W
M,S-088774,BROADWAY,AMSTERDAM AVENUE,WEST   70 STREET,W
M,S-025703,BROADWAY,WEST  121 STREET,WEST  122 STREET,E
M,S-025707,BROADWAY,WEST  123 STREET,LA SALLE STREET,E
M,S-025710,BROADWAY,WEST  125 STREET,WEST  126 STREET,E
M,S-025711,BROADWAY,WEST  131 STREET,WEST  133 STREET,E
M,S-025717,BROADWAY,WEST  132 STREET,WEST  131 STREET,W
M,S-025719,BROADWAY,WEST  131 STREET,WEST  130 STREET,W
M,S-025723,BROADWAY,WEST  130 STREET,WEST  129 STREET,W
M,S-088773,BROADWAY,WEST   75 STREET,WEST   74 STREET,W
M,P-152255,BROADWAY,WEST   61 STREET,WEST   62 STREET,E
M,S-915793,BROADWAY,EAST    8 STREET,ASTOR PLACE,E
M,P-143653,BROADWAY,WEST  182 STREET,WEST  183 STREET,E
M,S-959960,BROADWAY,WEST  216 STREET,WEST  217 STREET,E
M,S-959809,BROADWAY,WEST  157 STREET,EDWARD M MORGAN PLACE,W
M,S-085535,BROADWAY,GRAND STREET,HOWARD STREET,E
M,P-051496,BROADWAY,WEST  225 STREET,EXTERIOR STREET,E
M,S-075560,BROADWAY,EAST  106 STREET,EAST  107 STREET,W
M,S-027975,BROADWAY,WEST  152 STREET,WEST  153 STREET,W
M,S-027976,BROADWAY,WEST  152 STREET,WEST  153 STREET,E
M,S-071630,BROADWAY,WEST  126 STREET,WEST  131 STREET,E
M,P-039800,BROADWAY,WEST  134 STREET,WEST  133 STREET,W
M,S-066781,BROADWAY,WEST  178 STREET,WEST  179 STREET,E
M,P-035167,BROADWAY,EAST   99 STREET,WEST   98 STREET,W
M,S-040743,BROADWAY,WEST  159 STREET,WEST  160 STREET,W
M,P-032566,BROADWAY,WEST  134 STREET,WEST  135 STREET,W
M,S-198428,BROADWAY,WEST  185 STREET,WEST  187 STREET,E
M,S-198307,BROADWAY,WEST  134 STREET,WEST  135 STREET,E
M,S-198213,BROADWAY,WEST   67 STREET,WEST   68 STREET,E
M,S-260949,BROADWAY,EAST   14 STREET,EAST   13 STREET,W
M,S-201285,BROADWAY               *E BIKEL,WEST   56 STREET,WEST   55 STREET,E
M,S-201283,BROADWAY               *E BIKEL,WEST   58 STREET,WEST   57 STREET,E
M,S-201282,BROADWAY               *E BIKEL,COLUMBUS CIRCLE,WEST   58 STREET,E
M,S-188922,BROADWAY               *E BIKEL,WEST   38 STREET,WEST   37 STREET,E
M,S-188910,BROADWAY               *E BIKEL,WEST   42 STREET,WEST   41 STREET,E
M,S-201295,BROADWAY               *E BIKEL,WEST   30 STREET,WEST   29 STREET,E
M,S-201296,BROADWAY               *E BIKEL,WEST   29 STREET,WEST   28 STREET,E
M,S-201294,BROADWAY               *E BIKEL,WEST   31 STREET,WEST   30 STREET,E
M,S-201292,BROADWAY               *E BIKEL,WEST   49 STREET,WEST   48 STREET,E
M,S-201291,BROADWAY               *E BIKEL,WEST   50 STREET,WEST   49 STREET,E
M,S-201290,BROADWAY               *E BIKEL,WEST   51 STREET,WEST   50 STREET,E
M,S-201289,BROADWAY               *E BIKEL,WEST   52 STREET,WEST   51 STREET,E
M,S-201293,BROADWAY               *E BIKEL,WEST   48 STREET,WEST   47 STREET,E
M,S-201288,BROADWAY               *E BIKEL,WEST   53 STREET,WEST   52 STREET,E
M,S-188927,BROADWAY               *E BIKEL,WEST   32 STREET,WEST   31 STREET,E
M,S-188926,BROADWAY               *E BIKEL,WEST   33 STREET,WEST   32 STREET,E
M,S-201298,BROADWAY               *E BIKEL,WEST   27 STREET,WEST   26 STREET,E
M,S-188925,BROADWAY               *E BIKEL,WEST   34 STREET,WEST   33 STREET,E
M,S-188924,BROADWAY               *E BIKEL,WEST   36 STREET,WEST   35 STREET,E
M,S-201287,BROADWAY               *E BIKEL,WEST   54 STREET,WEST   53 STREET,E
M,S-201286,BROADWAY               *E BIKEL,WEST   55 STREET,WEST   54 STREET,E
M,S-188923,BROADWAY               *E BIKEL,WEST   37 STREET,WEST   36 STREET,E
M,S-201284,BROADWAY               *E BIKEL,WEST   57 STREET,WEST   56 STREET,E
M,S-193243,BROADWAY               *E BIKEL,WEST   35 STREET,WEST   34 STREET,E
M,S-280305,BROADWAY               *E BIKEL,WEST   28 STREET,WEST   27 STREET,E
M,S-188921,BROADWAY               *E BIKEL,WEST   39 STREET,WEST   38 STREET,E
M,S-188920,BROADWAY               *E BIKEL,WEST   40 STREET,WEST   39 STREET,E
M,S-188911,BROADWAY               *E BIKEL,WEST   41 STREET,WEST   40 STREET,E
M,S-269519,BROADWAY               *E S/R,WEST  130 STREET,WEST  131 STREET,W
M,S-248608,BROADWAY               *E S/R,WEST  129 STREET,WEST  130 STREET,W
M,S-976151,BROADWAY               *E S/R,WEST  131 STREET,WEST  132 STREET,E
M,S-976150,BROADWAY               *E S/R,WEST  132 STREET,WEST  133 STREET,E
M,S-028069,BROADWAY               *PRK AREA,TIEMANN PLACE,WEST  125 STREET,E
M,S-028065,BROADWAY               *PRK AREA,MOYLAN PLACE,LA SALLE STREET,W
M,S-028064,BROADWAY               *PRK AREA,LA SALLE STREET,MOYLAN PLACE,E
M,S-028076,BROADWAY               *PRK AREA,TIEMANN PLACE,MOYLAN PLACE,W
M,S-028073,BROADWAY               *PRK AREA,MOYLAN PLACE,TIEMANN PLACE,E
M,S-028072,BROADWAY               *PRK AREA,WEST  125 STREET,TIEMANN PLACE,W
M,S-959904,BROADWAY TERRACE,FAIRVIEW AVENUE,WEST  193 STREET,W
M,S-197988,BROADWAY TERRACE,FAIRVIEW AVENUE,WEST  193 STREET,E
M,S-196351,BROOKLYN BATTERY TUNNEL*PLAZA,GREENWICH STREET,TRINITY PLACE,S
M,S-196350,BROOKLYN BATTERY TUNNEL*PLAZA,GREENWICH STREET,TRINITY PLACE,N
M,S-600847,BROOKLYN BRIDGE,ROSE STREET,PEARL STREET,S
M,S-253561,BROOKLYN BRIDGE,PEARL STREET,FDR DRIVE,N
M,S-214255,BROOKLYN BRIDGE,BROOKLYN BRIDGE,CHAMBERS STREET,E
M,S-262434,BROOKLYN BRIDGE        *EXT RAMP,PARK ROW,AVENUE OF THE FINEST,S
M,S-262435,BROOKLYN BRIDGE        *EXT RAMP,PARK ROW,AVENUE OF THE FINEST,N
M,P-177004,CANAL STREET,CHRYSTIE STREET,FORSYTH STREET,N
M,P-252109,CANAL STREET,ELDRIDGE STREET,FORSYTH STREET,N
M,P-252105,CANAL STREET,ESSEX STREET,LUDLOW STREET,N
M,P-252102,CANAL STREET,ORCHARD STREET,ALLEN STREET,N
M,S-282278,CANAL STREET,HUDSON STREET,VARICK STREET,S
M,P-252101,CANAL STREET,LUDLOW STREET,ORCHARD STREET,N
M,P-251222,CANAL STREET,ORCHARD STREET,LUDLOW STREET,S
M,P-251464,CANAL STREET,ALLEN STREET,ORCHARD STREET,S
M,P-253234,CANAL STREET,ELIZABETH STREET,BOWERY,S
M,P-253238,CANAL STREET,MULBERRY STREET,MOTT STREET,S
M,S-192288,CANAL STREET,LUDLOW STREET,DIVISION STREET,S
M,P-253246,CANAL STREET,BROADWAY,CORTLANDT ALLEY,S
M,P-253248,CANAL STREET,CORTLANDT ALLEY,LAFAYETTE STREET,S
M,P-258350,CANAL STREET,ALLEN STREET,ELDRIDGE STREET,N
M,S-134463,CANAL STREET,AVENUE OF THE AMERICAS,WEST BROADWAY,S
M,S-987905,CANAL STREET,WASHINGTON STREET,GREENWICH STREET,S
M,P-252434,CANAL STREET,WOOSTER STREET,WEST BROADWAY,N
M,P-253455,CANAL STREET,MOTT STREET,MULBERRY STREET,N
M,P-236279,CANAL STREET,BOWERY,ELIZABETH STREET,N
M,S-065958,CANAL STREET,CHRYSTIE STREET,BOWERY,N
M,S-244381,CANAL STREET,EAST BROADWAY,ESSEX STREET,N
M,P-163850,CANAL STREET,FORSYTH STREET,ELDRIDGE STREET,S
M,S-256455,CANAL STREET,ELDRIDGE STREET,ALLEN STREET,S
M,S-005716,CANAL STREET,RUTGERS STREET,JEFFERSON STREET,S
M,S-067365,CANAL STREET,CANAL STREET,BOWERY,N
M,S-067364,CANAL STREET,CANAL STREET,BOWERY,S
M,P-251307,CANAL STREET,CENTRE STREET,LAFAYETTE STREET,N
M,P-252435,CANAL STREET,LAFAYETTE STREET,BROADWAY,N
M,S-105281,CANAL STREET,WEST BROADWAY,6 AVENUE,N
M,S-102024,CANAL STREET,GREENWICH STREET,WASHINGTON STREET,N
M,S-102025,CANAL STREET,WASHINGTON STREET,WEST STREET,N
M,S-175686,CANAL STREET,HUDSON STREET,RENWICK STREET,N
M,S-141038,CANAL STREET,BAXTER STREET,WALKER STREET,S
M,S-049482,CANAL STREET,WEST STREET,WASHINGTON STREET,S
M,S-102021,CANAL STREET,VARICK STREET,HUDSON STREET,N
M,S-829938,CANAL STREET,BAXTER STREET,CANAL STREET,N
M,S-989167,CANAL STREET,VARICK STREET,6 AVENUE,S
M,P-251308,CANAL STREET,BAXTER STREET,CENTRE STREET,N
M,S-102023,CANAL STREET,RENWICK STREET,GREENWICH STREET,N
M,S-987909,CANAL STREET,BAXTER STREET,CANAL STREET,S
M,P-252417,CANAL STREET,BROADWAY,MERCER STREET,N
M,S-853269,CANAL STREET,6 AVENUE            *W RDWY,VARICK STREET,N
M,P-252414,CANAL STREET,MERCER STREET,GREENE STREET,N
M,S-065957,CANAL STREET,FORSYTH STREET,CHRYSTIE STREET,S
M,P-246171,CANAL STREET,CHURCH STREET,BROADWAY,S
M,P-253261,CANAL STREET,LAFAYETTE STREET,CENTRE STREET,S
M,S-223587,CANAL STREET,BROADWAY,ESSEX STREET,N
M,P-251327,CANAL STREET,MULBERRY STREET,BAXTER STREET,N
M,S-987908,CANAL STREET,WATTS STREET,HUDSON STREET,S
M,S-102018,CANAL STREET,AVENUE OF THE AMERICAS,AVENUE OF THE AMERICAS,N
M,S-987906,CANAL STREET,GREENWICH STREET,WATTS STREET,S
M,S-108330,CANAL STREET,ESSEX STREET,DIVISION STREET,S
M,P-250172,CANAL STREET,ELIZABETH STREET,MOTT STREET,N
M,P-253307,CANAL STREET,WEST BROADWAY,CHURCH STREET,S
M,P-253257,CANAL STREET,CENTRE STREET,BAXTER STREET,S
M,P-252415,CANAL STREET,GREENE STREET,WOOSTER STREET,N
M,P-253259,CANAL STREET,MOTT STREET,ELIZABETH STREET,S
M,P-251223,CANAL STREET,DIVISION STREET,RUTGERS STREET,S
M,S-158169,CANAL STREET,6 AVENUE,VARICK STREET,N
M,S-066915,CANAL STREET,BAXTER STREET,MULBERRY STREET,S
M,S-283759,CANNON STREET,BROOME STREET,DELANCEY STREET,W
M,S-015127,CANNON STREET,DELANCEY STREET,EAST HOUSTON STREET,N
M,S-811805,CARDINAL HAYES PLACE,WORTH STREET,PEARL STREET,E
M,S-276776,CARDINAL HAYES PLACE,SAINT ANDREWS PLAZA,PEARL STREET,S
M,S-184151,CARDINAL HAYES PLACE,WORTH STREET,KENT PLACE,W
M,S-276778,CARDINAL HAYES PLACE,PEARL STREET,SAINT ANDREWS PLAZA,N
M,S-260396,CARDINAL HAYES PLACE,PEARL STREET,DUANE STREET,E
M,S-834980,CARDINAL HAYES PLACE,KENT PLACE,PEARL STREET,W
M,S-169102,CARLISLE STREET,WASHINGTON STREET,WEST STREET,S
M,S-989282,CARLISLE STREET,GREENWICH STREET,WASHINGTON STREET,N
M,S-989281,CARLISLE STREET,GREENWICH STREET,WASHINGTON STREET,S
M,S-989280,CARLISLE STREET,WASHINGTON STREET,WEST STREET,N
M,S-103005,CARMINE STREET,BLEECKER STREET,BEDFORD STREET,N
M,S-103008,CARMINE STREET,BLEECKER STREET,AVENUE OF THE AMERICAS,S
M,S-188408,CARMINE STREET,BEDFORD STREET,BLEECKER STREET,S
M,S-188407,CARMINE STREET,VARICK STREET,BEDFORD STREET,S
M,P-269274,CARMINE STREET,BLEECKER STREET,AVENUE OF THE AMERICAS,N
M,P-056802,CARMINE STREET,7 AVENUE,BEDFORD STREET,S
M,S-182059,CARMINE STREET,BLEECKER STREET,AVENUE OF THE AMERICAS,E
M,S-103006,CARMINE STREET,BEDFORD STREET,SEVENTH AVENUE SOUTH,N
M,S-089995,CATHEDRAL PARKWAY,RIVERSIDE DRIVE,BROADWAY,S
M,S-921637,CATHEDRAL PARKWAY,MANHATTAN AVENUE,EIGHTH AVENUE,S
M,S-208209,CATHEDRAL PARKWAY,MORNINGSIDE DRIVE,AMSTERDAM AVENUE,N
M,S-139469,CATHEDRAL PARKWAY,BROADWAY,RIVERSIDE DRIVE,N
M,S-263293,CATHEDRAL PARKWAY,FRED DOUGLASS BOULEVARD,MANHATTAN AVENUE,N
M,S-250699,CATHEDRAL PARKWAY,MANHATTAN AVENUE,MORNINGSIDE DRIVE,N
M,S-882595,CATHEDRAL PARKWAY,FREDERICK DOUGLASS CIRCLE,MANHATTAN AVENUE,N
M,S-226205,CATHEDRAL PARKWAY,BROADWAY,AMSTERDAM AVENUE,S
M,S-178732,CATHEDRAL PARKWAY,AMSTERDAM AVENUE,BROADWAY,N
M,S-169700,CATHEDRAL PARKWAY,RIVERSIDE DRIVE        *MN RDWY,RIVERSIDE DRIVE        *S RD,S
M,S-932945,CATHEDRAL PARKWAY,FREDERICK DOUGLASS BOULEVARD,FREDERICK DOUGLASS CIRCLE,N
M,S-269009,CATHEDRAL PARKWAY,AMSTERDAM AVENUE,COLUMBUS AVENUE,S
M,S-169701,CATHEDRAL PARKWAY,RIVERSIDE DRIVE        *S RD,RIVERSIDE DRIVE        *MN RDWY,N
M,S-182289,CATHEDRAL PARKWAY,COLUMBUS AVENUE,MANHATTAN AVENUE,S
M,S-258238,CATHERINE LANE,BROADWAY,LAFAYETTE STREET,N
M,S-258239,CATHERINE LANE,BROADWAY,LAFAYETTE STREET,S
M,S-289620,CATHERINE SLIP,CHERRY STREET,WATER STREET,N
M,S-282451,CATHERINE SLIP         *N RDWAY,SOUTH STREET,WATER STREET,S
M,S-282449,CATHERINE SLIP         *N RDWAY,SOUTH STREET,WATER STREET,N
M,S-282371,CATHERINE SLIP         *N RDWY,WATER STREET,CHERRY STREET,S
M,S-282372,CATHERINE SLIP         *N RDWY,WATER STREET,CHERRY STREET,N
M,S-284948,CATHERINE SLIP         *S RDWY,WATER STREET,SOUTH STREET,N
M,S-282401,CATHERINE STREET,MADISON STREET,SOUTH STREET,S
M,S-189629,CATHERINE STREET,EAST BROADWAY,HENRY STREET,E
M,S-958004,CATHERINE STREET,BOWERY,EAST BROADWAY,N
M,S-209185,CATHERINE STREET,MADISON STREET,SOUTH STREET,N
M,S-282420,CATHERINE STREET,MONROE STREET,CHERRY STREET,N
M,S-055927,CATHERINE STREET,DIVISION STREET,EAST BROADWAY,E
M,S-282375,CATHERINE STREET,WATER STREET,MONROE STREET,E
M,S-066829,CATHERINE STREET,HENRY STREET,MADISON STREET,E
M,S-066824,CATHERINE STREET,EAST BROADWAY,HENRY STREET,W
M,S-249457,CATHERINE STREET,MADISON STREET,MONROE STREET,E
M,S-814365,CATHERINE STREET,CHATHAM SQUARE,EAST BROADWAY,W
M,S-282386,CATHERINE STREET,MADISON STREET,MONROE STREET,S
M,S-066825,CATHERINE STREET,HENRY STREET,MADISON STREET,W
M,S-989279,CEDAR STREET,PEARL STREET,WILLIAM STREET,N
M,S-246471,CEDAR STREET,WASHINGTON STREET,GREENWICH STREET,N
M,S-235379,CEDAR STREET,TEMPLE STREET,TRINITY PLACE,N
M,S-268930,CEDAR STREET,GREENWICH STREET,TRINITY PLACE,S
M,S-158151,CEDAR STREET,PEARL STREET,WILLIAM STREET,S
M,S-989880,CEDAR STREET,WASHINGTON STREET,WEST STREET,S
M,S-055678,CEDAR STREET,BROADWAY,TEMPLE STREET,N
M,S-989278,CEDAR STREET,WASHINGTON STREET,WEST STREET,N
M,S-175886,CEDAR STREET,BROADWAY,TRINITY PLACE,S
M,S-268929,CEDAR STREET,GREENWICH STREET,TRINITY PLACE,N
M,S-909384,CEDAR STREET,NASSAU STREET,BROADWAY,S
M,S-600870,CEDAR STREET,NASSAU STREET,BROADWAY,N
M,S-129624,CEDAR STREET,BROADWAY,TRINITY PLACE,N
M,S-282354,CENTER STREET,EAST ROAD,WEST ROAD,N
M,S-282355,CENTER STREET,WEST ROAD,EAST ROAD,S
M,S-032929,CENTRAL PARK NORTH,WEST   59 STREET,UNNAMED STREET,W
M,S-231874,CENTRAL PARK NORTH,MALCOLM X BOULEVARD,5 AVENUE,S
M,S-164900,CENTRAL PARK NORTH,LENOX AVENUE,ADAM C POWELL BOULEVARD,N
M,S-090147,CENTRAL PARK NORTH,CENTRAL PARK WEST,FREDERICK DOUGLASS CIRCLE,S
M,S-144719,CENTRAL PARK NORTH,FREDERICK DOUGLASS CIRCLE,ADAM CLAYTON POWELL BOULEVARD,S
M,S-143771,CENTRAL PARK NORTH,ADAM C POWELL BOULEVARD,FRED DOUGLASS CIRCLE,N
M,S-237273,CENTRAL PARK NORTH,FRAWLEY CIRCLE,LENOX AVENUE,N
M,S-236415,CENTRAL PARK NORTH,ADAM C POWELL BOULEVARD,LENOX AVENUE,S
M,P-290489,CENTRAL PARK SOUTH,COLUMBUS CIRCLE,7 AVENUE,S
M,S-239902,CENTRAL PARK SOUTH,CENTRAL PARK SOUTH,AVENUE OF THE AMERICAS,E
M,P-287336,CENTRAL PARK SOUTH,WEST DRIVE,COLUMBUS CIRCLE,N
M,P-290488,CENTRAL PARK SOUTH,7 AVENUE,AVENUE OF THE AMERICAS,S
M,P-253085,CENTRAL PARK SOUTH,GRAND ARMY PLAZA,CENTER DRIVE,N
M,S-170142,CENTRAL PARK SOUTH,AVENUE OF THE AMERICAS,GRAND ARMY PLAZA,S
M,P-294314,CENTRAL PARK SOUTH,CENTER DRIVE,WEST DRIVE,N
M,S-089705,CENTRAL PARK WEST,WEST  105 STREET,WEST  104 STREET,W
M,S-230487,CENTRAL PARK WEST,WEST   66 STREET,WEST   65 STREET,W
M,S-230488,CENTRAL PARK WEST,WEST   64 STREET,WEST   63 STREET,W
M,S-230474,CENTRAL PARK WEST,WEST   97 STREET,WEST   96 STREET,W
M,S-246589,CENTRAL PARK WEST,WEST   74 STREET,WEST   73 STREET,W
M,S-246595,CENTRAL PARK WEST,WEST   75 STREET,WEST   74 STREET,W
M,S-230473,CENTRAL PARK WEST,WEST   94 STREET,WEST   93 STREET,W
M,S-230472,CENTRAL PARK WEST,WEST  100 STREET,WEST   97 STREET,W
M,S-230471,CENTRAL PARK WEST,WEST  102 STREET,WEST  101 STREET,W
M,S-230470,CENTRAL PARK WEST,WEST  104 STREET,WEST  103 STREET,W
M,S-244067,CENTRAL PARK WEST,COLUMBUS CIRCLE,WEST   65 STREET,E
M,S-241785,CENTRAL PARK WEST,FIFTH AVENUE,CENTRAL PARK WEST,N
M,S-286970,CENTRAL PARK WEST,WEST   77 STREET,WEST   81 STREET,E
M,S-230485,CENTRAL PARK WEST,WEST   70 STREET,WEST   69 STREET,W
M,S-230476,CENTRAL PARK WEST,WEST   90 STREET,WEST   89 STREET,W
M,S-230469,CENTRAL PARK WEST,WEST  106 STREET,WEST  105 STREET,W
M,S-280766,CENTRAL PARK WEST,WEST   81 STREET,WEST   77 STREET,W
M,S-280737,CENTRAL PARK WEST,WEST   77 STREET,WEST   76 STREET,W
M,S-014319,CENTRAL PARK WEST,SEVENTH AVENUE,EAST    6 STREET,S
M,S-230468,CENTRAL PARK WEST,WEST  108 STREET,WEST  107 STREET,W
M,S-230486,CENTRAL PARK WEST,WEST   68 STREET,WEST   67 STREET,W
M,S-230477,CENTRAL PARK WEST,WEST   88 STREET,WEST   87 STREET,W
M,S-928030,CENTRAL PARK WEST,WEST   63 STREET,WEST   62 STREET,W
M,S-088735,CENTRAL PARK WEST,WEST   85 STREET,WEST   86 STREET,E
M,S-088729,CENTRAL PARK WEST,COLUMBUS CIRCLE,WEST   61 STREET,W
M,S-883454,CENTRAL PARK WEST,WEST  180 STREET,WEST  107 STREET,W
M,S-088727,CENTRAL PARK WEST,WEST   65 STREET,WEST   64 STREET,W
M,S-088725,CENTRAL PARK WEST,WEST   67 STREET,WEST   66 STREET,W
M,S-088724,CENTRAL PARK WEST,WEST   69 STREET,WEST   68 STREET,W
M,S-088721,CENTRAL PARK WEST,WEST   71 STREET,WEST   70 STREET,W
M,S-088715,CENTRAL PARK WEST,WEST   73 STREET,WEST   72 STREET,W
M,S-088712,CENTRAL PARK WEST,WEST   76 STREET,WEST   75 STREET,W
M,S-088708,CENTRAL PARK WEST,WEST   82 STREET,WEST   81 STREET,W
M,S-088706,CENTRAL PARK WEST,WEST   85 STREET,WEST   84 STREET,W
M,S-089069,CENTRAL PARK WEST,WEST   83 STREET,WEST   82 STREET,W
M,S-208703,CENTRAL PARK WEST,WEST   67 STREET,WEST   72 STREET,E
M,S-208862,CENTRAL PARK WEST,WEST   86 STREET,WEST   90 STREET,E
M,S-230484,CENTRAL PARK WEST,WEST   72 STREET,WEST   71 STREET,W
M,S-208864,CENTRAL PARK WEST,WEST   90 STREET,WEST   96 STREET,E
M,S-255537,CENTRAL PARK WEST,WEST   81 STREET,WEST   85 STREET,E
